source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_1_recent_10th_grade_count,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,possible_match_2_recent_10th_grade_count,althingi_graduate_count,size_evidence_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Seljalandsskóli,seljalandsskoli,Sjálandsskóli,Garðabær,0.929,24,Snælandsskóli,Kópavogsbær,0.828,36,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Sólgarðaskóli,solgardaskoli,Garðaskóli,Garðabær,0.870,233,Foldaskóli,Reykjavíkurborg,0.783,93,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Sólvallaskóli,solvallaskoli,Vallaskóli,Sveitarfélagið Árborg,0.870,65,Salaskóli,Kópavogsbær,0.818,70,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Steinsstaðaskóli,steinsstadaskoli,Egilsstaðaskóli,Múlaþing (Fljótsdalshérað),0.839,38,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Þingborgarskóli,thingborgarskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Þykkvabæjarskóli,thykkvabaejarskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Vættaskóli,vaettaskoli,Klettaskóli,Reykjavíkurborg,0.818,15,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Varmalandsskóli,varmalandsskoli,Áslandsskóli,Hafnarfjarðarkaupstaður,0.815,57,Varmahlíðaskóli,Sveitarfélagið Skagafjörður,0.800,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Vesturhlíðarskóli,vesturhlidarskoli,Suðurhlíðaskóli,Reykjavíkurborg,0.812,,Hlíðarskóli,Akureyrarkaupstaður,0.786,3,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Víkurskóli (Reykjavík),vikurskoli reykjavik,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Villingaholtsskóli,villingaholtsskoli,Langholtsskóli,Reykjavíkurborg,0.812,87,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
