source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Giljaskóli,Giljaskóli,Akureyrarbær,Akureyrarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,23,3.2,3.2,2,20,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Glerárskóli,Glerárskóli,Akureyrarbær,Akureyrarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,15,2.9,3.0,2,14,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grenivíkurskóli,Grenivíkurskóli,Grýtubakkahreppur,Grýtubakkahreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,2,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grundaskóli,Grundaskóli,Akraneskaupstaður,Akraneskaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,51,3.1,3.1,1,43,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Bolungarvíkur,Grunnskólinn í Bolungarvík,Bolungarvíkurkaupstaður,Bolungarvík,analysis_required,matched_fuzzy_high_confidence,0.957,samband_grunnskolar_excel,7,2.9,3.0,1,6,true,true,true,false,High-confidence fuzzy normalized match; review optional.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Borgarfjarðar,Grunnskóli Borgarfjarðar,Borgarbyggð,Borgarbyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,9,3.5,3.5,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Borgarfjarðar-eystri,Grunnskóli Borgarfjarðar eystri,Múlaþing,Múlaþing (Borgarfjarðarhreppur),analysis_required,matched_exact,1.000,samband_grunnskolar_excel,1,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Djúpavogs,Djúpavogsskóli,Múlaþing,Múlaþing,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,1,,,0,,true,false,false,false,Current municipality harmonized to Múlaþing.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Fjallabyggðar,Grunnskóli Fjallabyggðar,Fjallabyggð,Fjallabyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,6,3.2,3.1,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Grindavíkur,,Grindavíkurbær,Grindavíkurbær,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,26,3.2,3.3,2,14,true,true,true,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
